arg ext 161 45 0 4200 R
arg ext 110 2 50 4500 R
arg ext 192 47 50 1000 R
arg ext 141 2 50 5600 R
file ext 234 65 29 3100 R
arg ext 138 2 87 5700 B
file ext 235 65 58 0 R
arg ext 61 45 0 6100 R
arg ext 146 108 50 2100 R
file ext 85 65 75 9600 B
arg ext 104 45 0 8700 R
arg ext 157 111 50 2200 R
arg ext 232 64 0 2800 R
arg ext 81 45 0 1500 R
arg ext 14 64 0 100 R
arg ext 133 108 25 3700 R
arg ext 168 108 25 2800 R
arg ext 244 64 0 7600 R
arg ext 180 108 50 4600 R
arg ext 149 64 0 7600 R
file ext 52 65 41 200 R
arg ext 230 103 75 5600 R
arg ext 66 103 75 8900 R
arg ext 247 45 0 7600 R
arg ext 179 108 50 2500 R
file ext 18 65 0 4800 R
arg ext 191 45 0 4500 R
arg ext 46 45 0 5600 R
arg ext 105 1 50 3700 B
arg ext 183 173 0 1300 R
arg ext 72 91 0 5900 R
arg ext 15 65 50 3500 R
arg ext 25 65 20 3900 B
file ext 127 65 33 6900 R
arg ext 182 65 50 7000 R
arg ext 7 65 50 6600 B
arg ext 254 65 50 2100 R
arg ext 241 65 10 3300 R
arg ext 219 65 30 1000 R
file ext 229 0 70 4200 B
file ext 138 0 4 9800 R
arg ext 186 45 0 5300 R
arg ext 61 1 0 5900 R
arg ext 28 65 90 9400 R
file ext 179 255 50 9100 R
file ext 239 133 83 500 R
arg ext 50 2 0 8300 R
arg ext 124 71 0 2300 R
arg ext 97 45 0 6900 B
file ext 181 0 0 2200 R
arg ext 175 2 0 500 R
file ext 180 65 20 4600 R
arg ext 182 45 0 7300 B
arg ext 189 114 50 4300 R
arg ext 78 45 0 1500 B
file ext 132 65 50 3400 B
arg ext 114 114 50 1600 R
arg ext 109 114 50 3300 R
arg ext 228 45 0 800 R
arg ext 74 114 50 9200 R
arg ext 118 114 50 7500 R
file ext 190 65 83 9700 B
file ext 246 14 16 7400 B
file ext 174 8 79 200 B
arg ext 111 1 0 9400 R
arg ext 242 64 0 1500 R
file ext 161 0 62 7800 B
file ext 10 0 62 700 R
file ext 205 0 75 100 R
file ext 13 10 91 1900 B
file ext 140 0 87 1900 R
file ext 31 28 29 4600 B
file ext 99 6 58 2000 R
file ext 46 0 66 800 R
file ext 145 0 83 9200 B
file ext 200 10 20 5600 R
file ext 25 10 8 5200 B
file ext 184 0 33 8600 R
file ext 145 10 16 2700 R
file ext 102 3 79 500 B
file ext 72 0 12 6600 B
file ext 62 65 79 2600 R
arg ext 19 110 10 1500 R
arg ext 128 90 0 4700 R
arg ext 68 65 50 5100 R
arg ext 190 1 0 9800 R
arg ext 133 84 75 4300 R
arg ext 79 65 50 400 R
arg ext 182 1 0 2300 R
file ext 243 65 33 6800 R
file ext 61 65 20 5600 R
file ext 162 65 54 4800 R
arg ext 183 1 0 7200 R
file ext 155 65 33 9400 R
file ext 69 65 25 7000 R
arg ext 87 1 0 9200 R
arg ext 36 65 50 600 R
arg ext 118 65 50 3000 R
arg ext 36 2 66 4100 B
arg ext 72 2 66 1400 B
arg ext 198 2 66 3500 B
arg ext 199 2 66 4800 B
arg ext 49 16 33 2900 B
arg ext 156 2 66 3300 B
arg ext 166 45 50 8800 R
arg ext 74 16 33 6900 B
arg ext 189 2 66 1600 B
arg ext 149 45 50 3200 B
arg ext 3 2 66 600 B
arg ext 18 45 0 9000 R
file ext 44 65 79 1500 R
file ext 0 104 33 9000 R
file ext 166 65 16 6600 R
arg ext 239 1 0 500 B
arg ext 167 45 0 2400 R
file ext 106 65 66 3400 R
file ext 171 249 45 8300 R
file ext 110 65 58 6600 R
arg ext 20 102 50 6100 R
file ext 178 65 50 3300 R
file ext 64 35 12 5900 B
arg ext 198 65 90 2000 R
file ext 44 35 45 1400 B
file ext 153 35 16 4100 B
file ext 146 35 29 9700 B
file ext 219 61 62 6400 R
file ext 189 35 20 8400 B
arg ext 54 65 0 2100 R
file ext 209 65 20 5200 R
arg ext 245 65 0 4700 R
arg ext 30 76 10 6800 R
arg ext 90 64 50 1700 B
arg ext 52 45 0 7800 R
arg ext 145 45 10 7800 R
arg ext 183 100 90 2100 R
arg ext 32 45 0 9100 R
arg ext 104 115 50 4600 R
arg ext 119 110 50 5100 R
arg ext 187 114 30 9300 R
arg ext 154 45 0 3300 R
arg ext 145 69 0 9900 R
arg ext 160 128 0 7200 R
arg ext 33 101 50 7800 R
arg ext 227 101 50 9500 R
arg ext 134 108 33 8800 R
file ext 77 65 91 9100 B
file ext 102 65 66 4200 R
arg ext 247 47 50 3300 R
arg ext 42 128 90 9500 B
file ext 167 65 8 1300 R
arg ext 93 115 0 500 R
file ext 199 0 54 5900 B
arg ext 195 68 0 8800 R
arg ext 222 128 0 5800 B
arg ext 52 1 70 8100 R
arg ext 61 128 0 6900 R
file ext 10 4 50 1900 R
arg ext 79 58 40 8500 R
arg ext 25 1 0 700 B
arg ext 249 102 10 9000 R
arg ext 133 1 50 1400 B
arg ext 223 1 90 5400 B
arg ext 76 112 50 300 R
arg ext 134 65 10 1000 R
file ext 160 65 33 8900 R
file ext 133 65 16 9300 R
arg ext 198 45 0 8900 B
arg ext 227 239 10 4400 R
arg ext 167 45 0 2000 R
arg ext 249 45 0 1300 R
arg ext 101 45 0 7000 R
arg ext 130 65 50 100 R
arg ext 161 57 0 4100 B
arg ext 70 65 80 2400 R
file ext 61 4 87 6900 R
file ext 219 4 83 6900 R
file ext 110 128 41 6000 R
arg ext 85 116 83 2900 R
file ext 74 8 54 4200 R
arg ext 7 45 0 3500 R
file ext 66 63 0 5200 R
file ext 201 4 83 8800 R
file ext 107 32 91 6500 R
file ext 74 8 54 9500 R
file ext 13 2 25 1700 R
file ext 121 32 33 9700 R
file ext 6 1 75 6700 R
file ext 185 40 29 5000 R
file ext 84 8 4 3300 R
arg ext 15 116 33 1000 R
arg ext 17 82 50 6400 R
arg ext 211 82 50 7100 R
file ext 184 65 70 6500 R
